Pais;Turismo;Educación;Transporte;N;Llegadas;N2;Salidas;N3
Albania;1678000000;401037160;210194497;2289231657;2469000;;4120000;
Alemania;99840000000;1.63674E+11;11340000000;2.74854E+11;28374000;;;
Bulgaria;904000000;377248518.4;344104714;1625353232;6328000;;3803000;
Croacia;918000000;2060066257;465653986;3443720243;9927000;;2280000;
Dinamarca;9840000000;24329576658;1051995812;35221572470;7864000;;7846000;
España;17375000000;54877582002;5966000000;78218582002;56177000;;13347000;
Francia;6009000000;1.35167E+11;11876000000;1.53052E+11;80499000;;26155000;
Georgia;55472000000;392204606.6;215704664;56079909271;2822000;;2237000;
Hungría;384000000;5411052902;297959695;6093012597;10250000;;16634000;
India;3048000000;84803394533;4835743364;92687137897;6309000;;13994000;
Israel;13699000000;15721476416;1166395272;30586871688;2820000;;4387000;
Nueva Zelandia;4937000000;10215877603;841562512;15994440115;2511000;;2093000;
Reino Unido;70300000000;1.38123E+11;5566309483;2.13989E+11;29306000;;56836000;
Rumania;2295000000;5348237795;3283244085;10926481880;7611000;;10936000;
Turquía;5372000000;22777683348;5180511592;33330194940;34654000;;6282000;
