Question;1;2;3;N;4;N2;5;N3
Albania;1689000000;411233020;192720205;2292953225;3341000;;4146000;
Alemania;106630000000;169407486080;11780000000;287817486080;32999000;;83008000;
Bulgaria;1459000000;360253720;252582064;2071835784;7311000;;4158000;
Croacia;865000000;2113837000;279524259;3258361259;11623000;;2763000;
Dinamarca;10172000000;24432792976;1101572141;35706365117;10267000;;8528000;
España;17969000000;48901280400;4266000000;71136280400;64995000;;11783000;
Francia;5286000000;132920689830;10735000000;148941689830;83767000;;28180000;
Georgia;59377000000;296181340;224297471;59897478811;5516000;;3106000;
Hungría;563000000;5408738268;163664928;6135403196;12140000;;16340000;
India;2718000000;87305232960;5080536049;95103769009;7679000;;18330000;
Israel;17493000000;15732174375;1591033582;34816207957;2927000;;5181000;
Nueva Zelandia;5583000000;10923004454;951938066;17457942520;2772000;;2276000;
Reino Unido;79935000000;140117035401;7726088575;227778123976;32613000;;60082000;
Rumania;2636000000;5454157260;2492967572;10583124832;8442000;;12299000;
Turquía;5475000000;23184427694;4802683640;33462111334;39811000;;7982000;
